PROVINCIA;CANTÓN;Servicios;VAB Economía total;%
CARCHI;Mira;11017,4802;31663,2679;0,02
SUCUMBÍOS;Cascales;10866,3317;23063,0675;0,02
LOJA;Celica;10593,7968;20034,6161;0,02
GUAYAS;Palestina;10416,7076;42946,3994;0,02
LOJA;Gonzanamá;10270,1476;23210,7533;0,02
AZUAY;Pucará;10117,1458;12284,3503;0,02
GALÁPAGOS;Isabela;9846,2694;13304,3841;0,02
CAÑAR;Suscal;9199,3533;12014,935;0,02
MORONA SANTIAGO;Huamboya;9170,5202;16426,849;0,02
PASTAZA;Santa Clara;9152,3333;13256,7701;0,02
PASTAZA;Arajuno;9084,1568;15989,0259;0,02
ZAMORA CHINCHIPE;Centinela Del Cóndor;8693,9855;16588,6152;0,02
TUNGURAHUA;Mocha;8488,5953;12752,1625;0,02
CARCHI;San Pedro de Huaca;8267,092;27139,4648;0,02
SUCUMBÍOS;Putumayo;8245,2116;143476,7286;0,02
ZAMORA CHINCHIPE;Yacuambí;8113,5891;10604,5356;0,02
LOJA;Pindal;8100,4699;16268,4519;0,02
MANABÍ;Olmedo;8076,303;12412,8997;0,02
CAÑAR;Déleg;7810,8203;15371,3253;0,02
MORONA SANTIAGO;Logroño;7647,8732;13170,9874;0,02
CHIMBORAZO;Penipe;7608,0017;12582,3454;0,02
ZAMORA CHINCHIPE;Palanda;7160,1552;14451,0038;0,01
MORONA SANTIAGO;Tiwintza;6977,1399;10584,2516;0,01
ZAMORA CHINCHIPE;Nangaritza;6882,6424;10802,9686;0,01
EL ORO;Atahualpa;6439,7233;13037,1141;0,01
BOLÍVAR;Las Naves;5776,8502;15830,1715;0,01
MORONA SANTIAGO;San Juan Bosco;5676,797;10622,0414;0,01
LOJA;Chaguarpamba;5617,3155;18707,8484;0,01
EL ORO;Las Lajas;4940,2199;9934,1038;0,01
ZAMORA CHINCHIPE;Paquisha;4798,3638;7624,7373;0,01
EL ORO;Marcabelí;4777,675;13899,6283;0,01
AZUAY;Oña;4653,931;6755,7744;0,01
AZUAY;San Fernando;4516,6227;7959,0699;0,01
LOJA;Sozoranga;4350,6562;9839,9786;0,01
EL ORO;Chilla;4018,0498;6574,4701;0,01
AZUAY;Guachapala;3804,5046;8962,6822;0,01
SUCUMBÍOS;Sucumbíos;3729,3635;6814,8029;0,01
LOJA;Olmedo;3428,1798;10164,6596;0,01
LOJA;Quilanga;3394,4909;9817,26;0,01
AZUAY;El Pan;3167,3203;8714,288;0,01
MORONA SANTIAGO;Pablo VI;2737,1461;4339,1199;0,01
