año	sector	size	0101 Cuenca	0102 Girón	0103 Gualaceo	0104 Nabón	0105 Paute	0106 Pucara	0107 San Fernando	0108 Santa Isabel	0109 Sigsig	0110 Oña	0111 Chordeleg	0112 El Pan	0113 Sevilla de Oro	0114 Guachapala	0115 Camilo Ponce Enríquez	0201 Guaranda	0202 Chillanes	0203 Chimbo	0204 Echeandía	0205 San Miguel	0206 Caluma	0207 Las Naves	0301 Azogues	0302 Biblián	0303 Cañar	0304 La Troncal	0305 El Tambo	0306 Déleg	0307 Suscal	0401 Tulcán	0402 Bolívar	0403 Espejo	0404 Mira	0405 Montúfar	0406 San Pedro de Huaca	0501 Latacunga	0502 La Maná	0503 Pangua	0504 Pujilí	0505 Salcedo	0506 Saquisilí	0507 Sigchos	0601 Riobamba	0602 Alausí	0603 Colta	0604 Chambo	0605 Chunchi	0606 Guamote	0607 Guano	0608 Pallatanga	0609 Penipe	0610 Cumandá	0701 Machala	0702 Arenillas	0703 Atahualpa	0704 Balsas	0705 Chilla	0706 El Guabo	0707 Huaquillas	0708 Marcabelí	0709 Pasaje	0710 Piñas	0711 Portovelo	0712 Santa Rosa	0713 Zaruma	0714 Las Lajas	0801 Esmeraldas	0802 Eloy Alfaro	0803 Muisne	0804 Quinindé	0805 San Lorenzo	0806 Atacames	0807 Rioverde	0901 Guayaquil	0902 Alfredo Baquerizo Moreno (Juján)	0903 Balao	0904 Balzar	0905 Colimes	0906 Daule	0907 Durán	0908 El Empalme	0909 El Triunfo	0910 Milagro	0911 Naranjal	0912 Naranjito	0913 Palestina	0914 Pedro Carbo	0916 Samborondón	0918 Santa Lucía	0919 Salitre (Urbina Jado)	0920 San Jacinto de Yaguachi	0921 Playas	0922 Simón Bolívar	0923 Coronel Marcelino Maridueña	0924 Lomas de Sargentillo	0925 Nobol	0927 General Antonio Elizalde	0928 Isidro Ayora	1001 Ibarra	1002 Antonio Ante	1003 Cotacachi	1004 Otavalo	1005 Pimampiro	1006 San Miguel de Urcuqui	1101 Loja	1102 Calvas	1103 Catamayo	1104 Celica	1105 Chaguarpamba	1106 Espíndola	1107 Gonzanamá	1108 Macará	1109 Paltas	1110 Puyango	1111 Saraguro	1112 Sozoranga	1113 Zapotillo	1114 Pindal	1115 Quilanga	1116 Olmedo	1201 Babahoyo	1202 Baba	1203 Montalvo	1204 Puebloviejo	1205 Quevedo	1206 Urdaneta	1207 Ventanas	1208 Vinces	1209 Palenque	1210 Buena Fé	1211 Valencia	1212 Mocache	1213 Quinsaloma	1301 Portoviejo	1302 Bolivar	1303 Chone	1304 El Carmen	1305 Flavio Alfaro	1306 Jipijapa	1307 Junín	1308 Manta	1309 Montecristi	1310 Paján	1311 Pichincha	1312 Rocafuerte	1313 Santa Ana	1314 Sucre	1315 Tosagua	1316 24 de Mayo	1317 Pedernales	1318 Olmedo	1319 Puerto López	1320 Jama	1321 Jaramijó	1322 San Vicente	1401 Morona	1402 Gualaquiza	1403 Limón Indanza	1404 Palora	1405 Santiago	1406 Sucúa	1407 Huamboya	1408 San Juan Bosco	1409 Taisha	1410 Logroño	1411 Pablo Sexto	1412 Tiwintza	1501 Tena	1503 Archidona	1504 El chaco	1507 Quijos	1509 Carlos Julio Arosemena Tola	1601 Pastaza	1602 Mera	1603 Santa Clara	1604 Arajuno	1701 Quito	1702 Cayambe	1703 Mejía	1704 Pedro Moncayo	1705 Rumiñahui	1707 San Miguel de los Bancos	1708 Pedro Vicente Maldonado	1709 Puerto Quito	1801 Ambato	1802 Baños de Agua Santa	1803 Cevallos	1804 Mocha	1805 Patate	1806 Quero	1807 San Pedro de Pelileo	1808 Santiago de Píllaro	1809 Tisaleo	1901 Zamora	1902 Chinchipe	1903 Nangaritza	1904 Yacuambí	1905 Yantzaza (Yanzatza)	1906 El pangui	1907 Centinela del Cóndor	1908 Palanda	1909 Paquisha	2001 San Cristóbal	2002 Isabela	2003 Santa Cruz	2101 Lago Agrio	2102 Gonzalo Pizarro	2103 Putumayo	2104 Shushufindi	2105 Sucumbíos	2106 Cascales	2107 Cuyabeno	2201 Orellana	2202 Aguarico	2203 La Joya de los Sachas	2204 Loreto	2301 Santo Domingo	2302 La Concordia	2401 Santa Elena	2402 La Libertad	2403 Salinas	9001 Las Golondrinas	9003 Manga del Cura	9004 El Piedrero
2019	Construcción	Grande empresa	38.249	nan	nan	nan	9.121	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18.527	nan	nan	nan	nan	nan	nan	nan	nan	nan	10.706	nan	nan	nan	nan	24.182	nan	nan	nan	nan	nan	nan	nan	nan	18.490	nan	nan	nan	nan	nan	nan	528.988	nan	nan	nan	nan	37.333	36.697	nan	nan	5.561	nan	nan	nan	nan	110.124	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	33.096	nan	nan	nan	nan	16.360	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.461	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	21.164	nan	nan	nan	nan	nan	nan	40.059	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.590.029	nan	nan	nan	nan	nan	nan	nan	33.833	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	22.127	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2019	Construcción	"Mediana empresa ""A"""	30.510	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.271	nan	nan	nan	nan	nan	nan	1.080	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.055	nan	nan	nan	1.906	nan	nan	3.414	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.120	nan	nan	nan	nan	nan	nan	nan	nan	1.333	nan	nan	nan	nan	2.338	nan	nan	1.345	1.668	nan	nan	162.945	nan	nan	nan	nan	11.557	2.872	nan	2.793	nan	nan	nan	nan	nan	17.806	nan	nan	1.065	1.657	nan	nan	nan	nan	nan	nan	2.145	nan	nan	nan	nan	nan	9.649	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.128	1.695	5.141	nan	1.606	nan	nan	1.028	nan	nan	nan	6.551	nan	3.145	nan	nan	nan	nan	6.973	1.973	nan	nan	nan	nan	nan	nan	1.172	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.817	nan	nan	nan	nan	nan	2.760	1.250	nan	nan	nan	2.790	1.081	nan	nan	206.654	nan	nan	nan	7.900	nan	nan	nan	21.525	nan	nan	nan	nan	nan	1.247	nan	nan	0	nan	nan	nan	nan	2.942	nan	nan	nan	nan	nan	nan	1.247	nan	nan	nan	nan	nan	nan	3.836	nan	1.040	nan	12.053	1.689	1.025	nan	3.067	nan	nan	nan
2019	Construcción	"Mediana empresa ""B"""	49.155	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10.806	nan	nan	nan	nan	nan	nan	nan	nan	nan	25.728	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.948	nan	nan	nan	nan	nan	nan	169.299	2.193	nan	nan	nan	6.866	5.382	nan	nan	nan	nan	nan	nan	nan	32.845	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10.209	nan	nan	nan	nan	nan	14.026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.386	nan	nan	nan	5.948	nan	nan	nan	4.650	nan	nan	nan	nan	nan	nan	nan	nan	25.377	2.408	3.473	3.758	nan	nan	nan	22.862	2.094	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.736	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.397	nan	nan	nan	nan	3.861	2.024	nan	nan	286.972	nan	nan	nan	7.724	nan	nan	nan	19.684	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.252	nan	nan	nan	nan	nan	nan	3.326	nan	nan	nan	nan	nan	3.444	13.625	nan	2.436	nan	17.498	nan	nan	nan	2.284	nan	nan	nan
2019	Construcción	Microempresa	3.672	0	196	101	77	0	0	68	98	55	9	5	133	0	178	741	0	26	153	118	1	0	345	23	72	426	92	207	nan	323	163	42	54	10	nan	1.370	159	129	187	329	110	112	2.511	266	192	101	0	68	93	102	76	143	1.659	139	150	nan	nan	145	166	0	186	365	79	220	224	0	1.529	67	108	351	170	56	88	23.060	0	0	100	nan	423	983	101	93	245	124	5	nan	0	1.326	nan	0	68	94	0	0	0	40	0	0	916	91	464	666	56	163	2.088	140	299	5	17	342	333	97	151	0	482	88	0	0	1	0	1.220	12	100	30	413	0	261	89	0	14	10	14	0	1.860	208	249	230	nan	1	1	1.494	51	1	0	42	150	23	71	13	66	0	2	0	20	25	629	247	86	65	89	77	470	42	197	130	76	133	1.017	501	399	98	130	1.601	218	0	8	25.293	370	307	255	838	7	67	47	2.156	302	0	nan	0	86	178	185	0	475	201	109	43	483	181	125	35	80	134	41	323	1.885	193	112	683	206	23	258	1.459	57	546	607	2.296	70	714	375	293	nan	nan	nan
2019	Construcción	Pequeña empresa	55.370	1.593	1.069	142	1.016	nan	nan	328	nan	nan	246	nan	1.717	nan	0	2.497	nan	nan	134	534	nan	nan	5.275	nan	1.859	2.213	1.166	nan	nan	1.840	nan	457	nan	369	nan	14.548	1.523	1.124	838	760	nan	166	15.692	146	nan	nan	177	544	268	115	276	796	17.540	nan	nan	185	nan	932	553	292	3.220	2.405	311	1.828	272	449	8.004	nan	142	2.374	920	823	454	283.635	162	nan	233	nan	15.086	6.043	110	1.316	2.528	1.649	nan	172	145	24.036	1.224	101	2.483	667	416	0	nan	454	0	nan	19.582	3.073	882	3.239	551	123	21.354	471	nan	115	154	808	nan	1.336	nan	0	1.653	207	539	235	nan	nan	6.358	613	1.533	416	8.442	1.273	613	1.277	396	1.773	1.617	nan	156	26.644	196	1.127	1.359	979	749	766	15.399	956	nan	nan	113	142	1.045	392	265	512	305	130	nan	1.125	nan	1.925	816	514	nan	1.008	449	323	368	2.003	nan	539	1.349	5.392	1.675	722	494	799	10.629	894	149	nan	331.503	2.293	1.721	928	12.014	596	nan	570	40.454	1.576	nan	282	683	104	3.591	411	101	4.015	130	358	1.167	2.716	2.644	496	nan	749	0	115	118	9.707	587	227	5.017	nan	793	1.201	6.887	1.320	3.052	1.798	24.042	239	9.302	3.311	5.193	nan	nan	nan
2019	Explotación de Minas y Canteras	Grande empresa	19.428	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	114.355	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.675	nan	11.922	nan	27.374	nan	nan	nan	nan	nan	nan	nan	nan	45.487	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.967	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.927	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.837	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11.192.762	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2019	Explotación de Minas y Canteras	"Mediana empresa ""A"""	9.050	nan	nan	nan	nan	nan	nan	5.956	nan	nan	nan	nan	nan	nan	14.202	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.396	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.484	1.801	2.438	nan	nan	nan	nan	nan	nan	nan	nan	5.209	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.466	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.068	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	22.327	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.434	nan	nan	nan	1.107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.796	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2019	Explotación de Minas y Canteras	"Mediana empresa ""B"""	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	24.672	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11.026	5.260	3.133	nan	nan	nan	nan	nan	nan	nan	nan	5.428	nan	nan	nan	nan	nan	2.516	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.597	2.090	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.771	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	84.907	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.677	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.191	nan	2.445	nan	nan	nan	nan	nan	nan	nan
2019	Explotación de Minas y Canteras	Microempresa	271	nan	29	0	nan	0	nan	0	nan	nan	nan	3	nan	nan	1.306	nan	nan	nan	nan	nan	nan	nan	63	nan	nan	0	0	nan	nan	0	90	nan	nan	nan	nan	72	0	nan	0	nan	nan	0	147	0	28	nan	nan	nan	0	nan	0	nan	300	nan	0	0	nan	52	nan	0	54	64	287	14	388	nan	82	0	nan	0	nan	nan	0	648	nan	nan	nan	nan	0	24	49	nan	nan	nan	nan	nan	nan	65	nan	nan	nan	114	nan	0	nan	0	nan	0	203	nan	0	55	nan	0	0	0	47	0	nan	nan	nan	47	nan	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	1	nan	nan	0	nan	nan	nan	nan	nan	46	nan	nan	28	nan	2	nan	29	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	12	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	21	nan	nan	nan	0	92	nan	nan	nan	2.243	nan	nan	0	160	nan	nan	nan	114	0	nan	nan	nan	nan	86	0	nan	304	101	nan	0	83	102	0	nan	0	nan	nan	nan	0	99	nan	18	nan	0	nan	102	nan	nan	nan	94	nan	57	nan	0	nan	nan	nan
2019	Explotación de Minas y Canteras	Pequeña empresa	4.334	110	332	nan	576	nan	nan	187	nan	nan	nan	nan	nan	nan	15.179	nan	nan	nan	nan	nan	nan	137	698	117	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.168	449	nan	nan	779	nan	nan	1.548	nan	nan	nan	nan	nan	809	nan	nan	nan	7.189	nan	621	nan	nan	nan	nan	nan	2.319	811	4.318	1.279	4.076	nan	509	nan	nan	455	nan	nan	nan	6.653	nan	nan	nan	nan	nan	367	nan	nan	nan	nan	nan	nan	nan	1.041	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	932	nan	nan	nan	nan	126	1.225	nan	128	nan	nan	nan	nan	503	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	716	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	787	nan	nan	nan	nan	nan	nan	999	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	261	nan	nan	nan	nan	nan	346	nan	nan	nan	639	nan	nan	nan	22.412	nan	nan	nan	632	nan	nan	nan	887	nan	nan	nan	nan	nan	nan	nan	nan	1.682	210	nan	nan	1.214	707	975	nan	666	nan	nan	110	1.788	nan	nan	nan	nan	nan	nan	730	nan	nan	nan	475	nan	182	nan	nan	nan	nan	nan
2019	Industrias Manufactureras	Grande empresa	1.580.997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	145.224	nan	nan	nan	7.307	nan	nan	nan	nan	nan	81.579	nan	nan	nan	17.653	nan	nan	188.088	nan	nan	nan	nan	nan	nan	nan	nan	nan	152.272	60.538	nan	nan	nan	13.643	26.771	nan	18.470	nan	nan	121.947	nan	nan	51.162	nan	nan	52.602	20.733	nan	nan	7.979.946	7.398	nan	nan	nan	37.908	3.136.955	nan	15.846	194.773	nan	nan	nan	nan	17.773	27.533	15.973	217.193	43.658	nan	350.852	nan	nan	nan	12.055	51.836	nan	nan	181.142	nan	nan	33.934	nan	17.084	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	83.791	nan	nan	16.866	237.802	nan	nan	25.820	nan	78.391	7.440	nan	nan	20.805	nan	nan	47.855	nan	nan	nan	453.478	930.159	nan	nan	nan	nan	41.841	nan	nan	131.989	nan	nan	nan	414.689	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11.992.131	31.555	511.115	21.004	648.327	nan	nan	8.473	369.760	56.222	nan	nan	7.018	nan	78.150	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.224	nan	nan	nan	69.455	48.258	81.414	nan	12.898	nan	nan	nan
2019	Industrias Manufactureras	"Mediana empresa ""A"""	82.724	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.544	2.252	nan	nan	nan	nan	nan	nan	1.736	nan	nan	nan	2.456	nan	nan	1.016	nan	nan	nan	1.079	1.530	17.594	nan	nan	1.077	2.496	1.510	nan	13.979	nan	nan	nan	nan	nan	1.192	nan	nan	nan	6.725	nan	nan	nan	nan	1.930	nan	nan	1.141	1.744	1.999	nan	nan	nan	1.038	nan	nan	1.734	nan	nan	nan	195.278	nan	nan	2.595	1.389	7.273	19.127	1.084	nan	2.985	nan	nan	nan	1.930	7.611	nan	nan	6.536	nan	nan	nan	2.650	2.594	nan	nan	17.469	16.847	1.909	1.343	nan	nan	9.187	nan	2.505	nan	nan	nan	1.486	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.492	1.405	1.573	1.378	3.274	3.486	1.417	nan	nan	1.218	nan	nan	nan	7.849	nan	nan	nan	nan	nan	nan	14.734	6.140	1.997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.748	nan	nan	nan	nan	nan	nan	1.972	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.241	nan	nan	379.141	5.837	10.568	1.132	24.708	1.826	nan	nan	46.107	nan	nan	nan	nan	nan	5.016	nan	1.464	1.012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.304	nan	nan	nan	nan	nan	nan	1.522	nan	1.100	nan	20.892	nan	1.218	2.295	3.059	nan	nan	nan
2019	Industrias Manufactureras	"Mediana empresa ""B"""	82.126	nan	2.499	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.059	nan	nan	nan	nan	nan	nan	nan	2.656	nan	2.540	nan	2.015	nan	nan	2.742	nan	nan	nan	nan	4.856	27.339	3.142	nan	nan	3.511	nan	nan	18.226	nan	nan	nan	nan	nan	7.885	nan	nan	nan	21.075	nan	nan	4.261	nan	nan	2.173	nan	nan	2.283	7.336	4.341	nan	nan	15.076	nan	nan	15.635	nan	nan	nan	393.537	nan	nan	nan	nan	16.119	73.315	2.493	4.277	nan	nan	nan	nan	nan	14.834	9.108	nan	10.704	nan	nan	nan	2.787	6.094	nan	nan	7.094	5.471	nan	5.465	nan	3.377	7.535	nan	nan	nan	nan	nan	nan	5.837	nan	nan	nan	nan	nan	nan	nan	nan	7.931	nan	8.314	nan	8.698	2.376	nan	nan	nan	nan	nan	nan	nan	12.244	nan	nan	4.909	nan	nan	nan	26.806	10.319	nan	nan	nan	nan	2.395	nan	nan	nan	nan	3.198	nan	14.158	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.913	nan	nan	nan	600.690	2.592	10.288	4.690	40.042	nan	nan	nan	96.102	3.060	nan	nan	nan	4.260	2.126	2.812	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.380	nan	nan	nan	nan	nan	nan	9.590	nan	nan	nan	21.850	nan	6.457	nan	15.082	nan	nan	nan
2019	Industrias Manufactureras	Microempresa	6.799	0	72	7	79	1	0	121	27	2	32	12	37	0	0	599	0	15	32	15	10	nan	339	5	129	197	0	0	0	617	0	0	34	259	59	1.389	56	37	319	378	126	136	1.710	221	121	52	12	38	526	0	44	0	1.500	15	0	4	nan	21	645	70	138	224	82	29	158	0	1.494	0	0	826	1	81	0	24.043	65	946	24	101	974	1.646	779	7	372	123	72	43	199	424	51	67	131	178	0	0	201	33	0	0	1.486	1.101	149	868	40	82	2.169	0	168	0	11	33	4	61	0	0	188	nan	4	0	9	nan	180	18	32	0	537	35	1	102	0	175	15	37	15	2.371	153	840	678	102	44	22	2.220	455	86	0	109	7	203	13	58	311	0	61	74	96	236	124	14	13	21	11	172	0	nan	0	nan	nan	nan	683	87	31	72	129	449	0	nan	98	38.101	517	922	169	1.375	54	0	12	4.751	92	226	0	9	0	1.507	106	107	477	0	52	0	85	58	6	0	14	0	0	282	1.351	0	24	171	31	186	0	1.349	nan	256	135	3.042	33	931	576	144	nan	nan	nan
2019	Industrias Manufactureras	Pequeña empresa	121.254	nan	2.660	nan	531	nan	nan	nan	152	nan	1.184	nan	nan	nan	596	2.429	nan	nan	nan	nan	nan	nan	2.084	145	642	1.510	497	nan	nan	2.068	nan	540	nan	701	1.328	19.851	252	nan	1.011	4.682	1.800	200	28.168	299	1.118	nan	nan	297	2.845	350	175	726	23.597	nan	nan	551	nan	271	2.272	nan	918	378	738	2.245	1.266	nan	3.492	nan	nan	2.997	353	763	nan	345.743	866	nan	290	164	9.061	32.366	363	1.196	5.541	409	836	1.112	674	8.218	1.317	1.408	2.342	808	126	214	1.540	2.836	475	514	22.548	18.756	265	6.530	nan	nan	11.988	nan	918	nan	529	508	nan	nan	406	nan	155	nan	719	422	nan	nan	5.920	nan	1.539	1.364	10.119	743	1.398	990	nan	1.845	nan	0	0	14.438	165	3.656	1.403	nan	472	1.159	30.601	5.716	nan	704	0	434	779	896	376	729	nan	nan	1.221	1.326	108	999	311	nan	nan	nan	543	nan	nan	nan	nan	nan	nan	2.951	nan	681	1.151	539	1.875	nan	nan	nan	515.656	8.078	13.252	3.896	27.610	188	705	1.309	94.754	nan	2.653	588	382	726	20.979	4.192	2.537	841	nan	nan	nan	301	599	952	nan	nan	516	nan	1.619	6.017	nan	nan	843	nan	nan	nan	8.059	nan	1.524	nan	37.619	1.037	3.231	5.423	3.244	nan	nan	nan
2019	Servicios	Grande empresa	1.962.182	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.334	nan	21.100	nan	5.002	nan	nan	14.686	33.127	nan	nan	nan	nan	nan	56.638	nan	nan	nan	5.955	nan	54.999	nan	nan	nan	6.881	nan	nan	145.475	nan	nan	nan	nan	nan	nan	nan	5.439	5.153	118.974	6.480	nan	nan	nan	nan	5.699	nan	6.130	5.201	nan	23.708	6.485	nan	482.044	nan	nan	5.746	nan	nan	nan	9.637.594	nan	nan	nan	nan	51.356	109.018	nan	nan	10.312	7.671	nan	nan	nan	310.783	nan	nan	nan	14.578	nan	nan	nan	nan	nan	nan	149.395	25.524	nan	23.672	nan	nan	306.680	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	12.533	nan	nan	nan	5.651	nan	5.772	nan	nan	nan	5.022	nan	nan	155.343	8.192	26.789	5.120	nan	nan	nan	81.535	15.337	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.657	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.704	nan	26.150	10.318	nan	nan	14.290.240	53.140	5.530	nan	128.909	5.212	nan	nan	475.373	17.210	nan	nan	nan	nan	nan	nan	nan	5.755	nan	nan	nan	11.716	nan	nan	nan	nan	23.485	nan	39.464	11.489	nan	nan	nan	nan	nan	5.685	20.822	nan	34.429	nan	46.186	nan	16.115	11.874	nan	nan	nan	nan
