dimension1	dimension1 (2)	dimension2	medida
Industrias Manufactureras	C2100 Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.	09 Guayas	8275,313
Industrias Manufactureras	C2029 Fabricación de otros productos químicos n.c.p.	09 Guayas	113,593
Industrias Manufactureras	C2023 Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.	09 Guayas	3889,534
Industrias Manufactureras	C2022 Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas.	09 Guayas	2386,769
Industrias Manufactureras	C2021 Fabricación de plaguicidas y otros productos químicos de uso agropecuario.	09 Guayas	7704,4
Industrias Manufactureras	C2013 Fabricación de plásticos y cauchos sintéticos en formas primarias.	09 Guayas	8196,143
Industrias Manufactureras	C2012 Fabricación de abonos y compuestos de nitrógeno.	09 Guayas	4250,997
Industrias Manufactureras	C2011 Fabricación de substancias químicas básicas.	09 Guayas	13218,883
Industrias Manufactureras	C1920 Fabricación de productos de la refinación del petróleo.	09 Guayas	3639,214
Industrias Manufactureras	C1910 Fabricación de productos de horno de coque.	09 Guayas	0
Industrias Manufactureras	C1820 Reproducción de grabaciones.	09 Guayas	0
Industrias Manufactureras	C1812 Actividades de servicios relacionados con la impresión.	09 Guayas	0
Industrias Manufactureras	C1811 Actividades de impresión.	09 Guayas	687,751
Industrias Manufactureras	C1709 Fabricación de otros artículos del papel y cartón.	09 Guayas	7035,194
Industrias Manufactureras	C1702 Fabricación de papel y cartón ondulado y de envases de papel y cartón.	09 Guayas	17916,077
Industrias Manufactureras	C1701 Fabricación de pasta de madera, papel y cartón.	09 Guayas	0
Industrias Manufactureras	"C1629 Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables."	09 Guayas	0
Industrias Manufactureras	C1623 Fabricación de recipientes de madera.	09 Guayas	0
Industrias Manufactureras	C1622 Fabricación de partes y piezas de carpintería para edificios y construcciones.	09 Guayas	7356,241
Industrias Manufactureras	C1621 Fabricación de hojas de madera para enchapado y tableros a base de madera.	09 Guayas	9472,499
Industrias Manufactureras	C1610 Aserrado y acepilladura de madera.	09 Guayas	55964,117
Industrias Manufactureras	C1520 Fabricación de calzado.	09 Guayas	12,312
Industrias Manufactureras	C1512 Fabricación de maletas, bolsos de mano y artículos similares, artículos de talabartería y guarnicionería.	09 Guayas	0
Industrias Manufactureras	"C1511 Curtido y adobo de cueros; adobo y teñido de pieles."	09 Guayas	nan
Industrias Manufactureras	C1430 Fabricación de artículos de punto y ganchillo.	09 Guayas	0
Industrias Manufactureras	C1420 Fabricación de artículos de piel.	09 Guayas	0
Industrias Manufactureras	C1410 Fabricación de prendas de vestir, excepto prendas de piel.	09 Guayas	413,519
Industrias Manufactureras	C1399 Fabricación de otros productos textiles n.c.p.	09 Guayas	0
Industrias Manufactureras	C1394 Fabricación de cuerdas, cordeles, bramantes y redes.	09 Guayas	174,093
Industrias Manufactureras	C1393 Fabricación de tapices y alfombras.	09 Guayas	0
Industrias Manufactureras	C1392 Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir.	09 Guayas	387,242
Industrias Manufactureras	C1391 Fabricación de tejidos de punto y ganchillo.	09 Guayas	0
Industrias Manufactureras	C1313 Servicio de acabado de productos textiles.	09 Guayas	0
Industrias Manufactureras	C1312 Tejedura de productos textiles.	09 Guayas	140,765
Industrias Manufactureras	C1311 Preparación e hilatura de fibras textiles.	09 Guayas	0
Industrias Manufactureras	"C1104 Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas."	09 Guayas	2278,147
Industrias Manufactureras	C1103 Elaboración de bebidas malteadas y de malta.	09 Guayas	1278,635
Industrias Manufactureras	C1102 Elaboración de vinos.	09 Guayas	0
Industrias Manufactureras	C1101 Destilación, rectificación y mezcla de bebidas alcohólicas.	09 Guayas	55,68
Industrias Manufactureras	C1080 Elaboración de alimentos preparados para animales.	09 Guayas	50388,272
Industrias Manufactureras	C1079 Elaboración de otros productos alimenticios n.c.p.	09 Guayas	11258,205
Industrias Manufactureras	C1075 Elaboración de comidas y platos preparados.	09 Guayas	0
Industrias Manufactureras	C1074 Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares.	09 Guayas	615,384
Industrias Manufactureras	C1073 Elaboración de cacao, chocolate y productos de confitería.	09 Guayas	95604,046
Industrias Manufactureras	C1072 Elaboración de azúcar.	09 Guayas	12392,38
Industrias Manufactureras	C1071 Elaboración de productos de panadería.	09 Guayas	1607,089
Industrias Manufactureras	C1062 Elaboración de almidones y productos derivados del almidón.	09 Guayas	0
Industrias Manufactureras	C1061 Elaboración de productos de molinería.	09 Guayas	12791,557
Industrias Manufactureras	C1050 Elaboración de productos lácteos.	09 Guayas	1022,232
Industrias Manufactureras	C1040 Elaboración de aceites y grasas de origen vegetal y animal.	09 Guayas	1908,058
Industrias Manufactureras	C1030 Elaboración y conservación de frutas, legumbres y hortalizas.	09 Guayas	93898,534
Industrias Manufactureras	C1020 Elaboración y conservación de pescados, crustáceos y moluscos.	09 Guayas	2332251,947
Industrias Manufactureras	C1010 Elaboración y conservación de carne.	09 Guayas	3332,029
Industrias Manufactureras	C3320 Instalación de maquinaria y equipo industriales.	10 Imbabura	0
Industrias Manufactureras	C3314 Reparación de equipo eléctrico.	10 Imbabura	0
Industrias Manufactureras	C3313 Reparación de equipo electrónico y óptico.	10 Imbabura	0
Industrias Manufactureras	C3312 Reparación de maquinaria.	10 Imbabura	0
Industrias Manufactureras	C3311 Reparación de productos elaborados de metal.	10 Imbabura	nan
Industrias Manufactureras	C3290 Otras industrias manufactureras n.c.p.	10 Imbabura	0
Industrias Manufactureras	C3250 Fabricación de instrumentos y materiales médicos y odontológicos.	10 Imbabura	0
Industrias Manufactureras	C3240 Fabricación de juegos y juguetes.	10 Imbabura	nan
Industrias Manufactureras	C3220 Fabricación de instrumentos musicales.	10 Imbabura	0
Industrias Manufactureras	C3212 Fabricación de bisutería y artículos conexos.	10 Imbabura	0
Industrias Manufactureras	C3211 Fabricación de joyas y artículos conexos.	10 Imbabura	0
Industrias Manufactureras	C3100 Fabricación de muebles.	10 Imbabura	0
Industrias Manufactureras	C3091 Fabricación de motocicletas.	10 Imbabura	0
Industrias Manufactureras	C2930 Fabricación de partes, piezas y accesorios para vehículos automotores.	10 Imbabura	0
Industrias Manufactureras	"C2920 Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques."	10 Imbabura	0
Industrias Manufactureras	C2910 Fabricación de vehículos automotores.	10 Imbabura	0
Industrias Manufactureras	C2829 Fabricación de otros tipos de maquinaria de uso especial.	10 Imbabura	nan
Industrias Manufactureras	C2826 Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros.	10 Imbabura	0
Industrias Manufactureras	C2825 Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.	10 Imbabura	nan
Industrias Manufactureras	C2824 Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción.	10 Imbabura	nan
Industrias Manufactureras	C2821 Fabricación de maquinaria agropecuaria y forestal.	10 Imbabura	0
Industrias Manufactureras	C2819 Fabricación de otros tipos de maquinaria de uso general.	10 Imbabura	0
Industrias Manufactureras	C2817 Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico).	10 Imbabura	nan
Industrias Manufactureras	C2815 Fabricación de hornos y quemadores.	10 Imbabura	nan
Industrias Manufactureras	C2812 Fabricación de equipo de propulsión de fluidos.	10 Imbabura	nan
Industrias Manufactureras	C2811 Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas.	10 Imbabura	nan
Industrias Manufactureras	C2790 Fabricación de otros tipos de equipo eléctrico.	10 Imbabura	nan
Industrias Manufactureras	C2750 Fabricación de aparatos de uso doméstico.	10 Imbabura	0
Industrias Manufactureras	C2740 Fabricación de equipo eléctrico de iluminación.	10 Imbabura	0
Industrias Manufactureras	C2710 Fabricación de motores, generadores, transformadores eléctricos y aparatos de distribución y control de la energía e	10 Imbabura	0
Industrias Manufactureras	C2630 Fabricación de equipo de comunicaciones.	10 Imbabura	0
Industrias Manufactureras	C2620 Fabricación de computadoras y equipo periférico.	10 Imbabura	0
Industrias Manufactureras	C2599 Fabricación de otros productos elaborados de metal n.c.p.	10 Imbabura	0
Industrias Manufactureras	C2593 Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería.	10 Imbabura	0
Industrias Manufactureras	"C2592 Tratamiento y revestimiento de metales; maquinado."	10 Imbabura	0
Industrias Manufactureras	"C2591 Forja, prensado, estampado y laminado de metales; pulvimetalurgia."	10 Imbabura	0
Industrias Manufactureras	C2512 Fabricación de tanques, depósitos y recipientes de metal.	10 Imbabura	0
Industrias Manufactureras	C2511 Fabricación de productos metálicos para uso estructural.	10 Imbabura	0
Industrias Manufactureras	C2432 Fundición de metales no ferrosos.	10 Imbabura	0
Industrias Manufactureras	C2431 Fundición de hierro y acero.	10 Imbabura	0
Industrias Manufactureras	C2420 Fabricación de productos primarios de metales preciosos y metales no ferrosos.	10 Imbabura	0
Industrias Manufactureras	C2410 Industrias básicas de hierro y acero.	10 Imbabura	0
Industrias Manufactureras	C2396 Corte, tallado y acabado de la piedra.	10 Imbabura	0
Industrias Manufactureras	C2395 Fabricación de artículos de hormigón, de cemento y yeso.	10 Imbabura	0
Industrias Manufactureras	C2394 Fabricación de cemento, cal y yeso.	10 Imbabura	0
Industrias Manufactureras	C2393 Fabricación de otros productos de porcelana y de cerámica.	10 Imbabura	0
Industrias Manufactureras	C2392 Fabricación de materiales de construcción de arcilla.	10 Imbabura	0
Industrias Manufactureras	C2391 Fabricación de productos refractarios.	10 Imbabura	0
Industrias Manufactureras	C2310 Fabricación de vidrio y productos de vidrio.	10 Imbabura	0
Industrias Manufactureras	C2220 Fabricación de productos de plástico.	10 Imbabura	0
Industrias Manufactureras	C2219 Fabricación de otros productos de caucho.	10 Imbabura	746,617
Industrias Manufactureras	"C2211 Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho."	10 Imbabura	0
Industrias Manufactureras	C2100 Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.	10 Imbabura	0
Industrias Manufactureras	C2030 Fabricación de fibras artificiales.	10 Imbabura	nan
Industrias Manufactureras	C2029 Fabricación de otros productos químicos n.c.p.	10 Imbabura	0
Industrias Manufactureras	C2023 Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.	10 Imbabura	0
Industrias Manufactureras	C2022 Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas.	10 Imbabura	0
Industrias Manufactureras	C2021 Fabricación de plaguicidas y otros productos químicos de uso agropecuario.	10 Imbabura	0
Industrias Manufactureras	C2013 Fabricación de plásticos y cauchos sintéticos en formas primarias.	10 Imbabura	0
Industrias Manufactureras	C2012 Fabricación de abonos y compuestos de nitrógeno.	10 Imbabura	0
Industrias Manufactureras	C2011 Fabricación de substancias químicas básicas.	10 Imbabura	nan
Industrias Manufactureras	C1820 Reproducción de grabaciones.	10 Imbabura	nan
Industrias Manufactureras	C1812 Actividades de servicios relacionados con la impresión.	10 Imbabura	0
Industrias Manufactureras	C1811 Actividades de impresión.	10 Imbabura	80,761
Industrias Manufactureras	C1709 Fabricación de otros artículos del papel y cartón.	10 Imbabura	0
Industrias Manufactureras	C1702 Fabricación de papel y cartón ondulado y de envases de papel y cartón.	10 Imbabura	nan
Industrias Manufactureras	C1701 Fabricación de pasta de madera, papel y cartón.	10 Imbabura	nan
Industrias Manufactureras	"C1629 Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables."	10 Imbabura	0
Industrias Manufactureras	C1623 Fabricación de recipientes de madera.	10 Imbabura	0
Industrias Manufactureras	C1622 Fabricación de partes y piezas de carpintería para edificios y construcciones.	10 Imbabura	0
Industrias Manufactureras	C1610 Aserrado y acepilladura de madera.	10 Imbabura	0
Industrias Manufactureras	C1520 Fabricación de calzado.	10 Imbabura	0
Industrias Manufactureras	C1512 Fabricación de maletas, bolsos de mano y artículos similares, artículos de talabartería y guarnicionería.	10 Imbabura	0
Industrias Manufactureras	"C1511 Curtido y adobo de cueros; adobo y teñido de pieles."	10 Imbabura	0
Industrias Manufactureras	C1430 Fabricación de artículos de punto y ganchillo.	10 Imbabura	704,778
Industrias Manufactureras	C1420 Fabricación de artículos de piel.	10 Imbabura	nan
Industrias Manufactureras	C1410 Fabricación de prendas de vestir, excepto prendas de piel.	10 Imbabura	293,022
Industrias Manufactureras	C1399 Fabricación de otros productos textiles n.c.p.	10 Imbabura	0
Industrias Manufactureras	C1394 Fabricación de cuerdas, cordeles, bramantes y redes.	10 Imbabura	nan
Industrias Manufactureras	C1393 Fabricación de tapices y alfombras.	10 Imbabura	nan
Industrias Manufactureras	C1392 Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir.	10 Imbabura	0
Industrias Manufactureras	C1391 Fabricación de tejidos de punto y ganchillo.	10 Imbabura	0
Industrias Manufactureras	C1313 Servicio de acabado de productos textiles.	10 Imbabura	0
Industrias Manufactureras	C1312 Tejedura de productos textiles.	10 Imbabura	460,267
Industrias Manufactureras	C1311 Preparación e hilatura de fibras textiles.	10 Imbabura	0
Industrias Manufactureras	"C1104 Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas."	10 Imbabura	0
Industrias Manufactureras	C1103 Elaboración de bebidas malteadas y de malta.	10 Imbabura	0
Industrias Manufactureras	C1102 Elaboración de vinos.	10 Imbabura	0
Industrias Manufactureras	C1101 Destilación, rectificación y mezcla de bebidas alcohólicas.	10 Imbabura	0
Industrias Manufactureras	C1080 Elaboración de alimentos preparados para animales.	10 Imbabura	0
Industrias Manufactureras	C1079 Elaboración de otros productos alimenticios n.c.p.	10 Imbabura	0
Industrias Manufactureras	C1075 Elaboración de comidas y platos preparados.	10 Imbabura	0
Industrias Manufactureras	C1073 Elaboración de cacao, chocolate y productos de confitería.	10 Imbabura	0
Industrias Manufactureras	C1072 Elaboración de azúcar.	10 Imbabura	0
Industrias Manufactureras	C1071 Elaboración de productos de panadería.	10 Imbabura	0
Industrias Manufactureras	C1061 Elaboración de productos de molinería.	10 Imbabura	1661,202
Industrias Manufactureras	C1050 Elaboración de productos lácteos.	10 Imbabura	0
Industrias Manufactureras	C1040 Elaboración de aceites y grasas de origen vegetal y animal.	10 Imbabura	nan
Industrias Manufactureras	C1030 Elaboración y conservación de frutas, legumbres y hortalizas.	10 Imbabura	0
Industrias Manufactureras	C1010 Elaboración y conservación de carne.	10 Imbabura	0
Industrias Manufactureras	C3314 Reparación de equipo eléctrico.	11 Loja	0
Industrias Manufactureras	C3313 Reparación de equipo electrónico y óptico.	11 Loja	0
Industrias Manufactureras	C3312 Reparación de maquinaria.	11 Loja	0
Industrias Manufactureras	C3311 Reparación de productos elaborados de metal.	11 Loja	0
Industrias Manufactureras	C3290 Otras industrias manufactureras n.c.p.	11 Loja	0
Industrias Manufactureras	C3250 Fabricación de instrumentos y materiales médicos y odontológicos.	11 Loja	0
Industrias Manufactureras	C3220 Fabricación de instrumentos musicales.	11 Loja	0
Industrias Manufactureras	C3212 Fabricación de bisutería y artículos conexos.	11 Loja	nan
Industrias Manufactureras	C3211 Fabricación de joyas y artículos conexos.	11 Loja	0
Industrias Manufactureras	C3100 Fabricación de muebles.	11 Loja	0
Industrias Manufactureras	C3092 Fabricación de bicicletas y de sillas de ruedas para inválidos.	11 Loja	nan
Industrias Manufactureras	C2930 Fabricación de partes, piezas y accesorios para vehículos automotores.	11 Loja	0
Industrias Manufactureras	"C2920 Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques."	11 Loja	0
Industrias Manufactureras	C2825 Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.	11 Loja	nan
Industrias Manufactureras	C2824 Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción.	11 Loja	0
Industrias Manufactureras	C2821 Fabricación de maquinaria agropecuaria y forestal.	11 Loja	nan
Industrias Manufactureras	C2819 Fabricación de otros tipos de maquinaria de uso general.	11 Loja	0
Industrias Manufactureras	C2816 Fabricación de equipo de elevación y manipulación.	11 Loja	nan
Industrias Manufactureras	C2815 Fabricación de hornos y quemadores.	11 Loja	0
Industrias Manufactureras	C2814 Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión.	11 Loja	0
Industrias Manufactureras	C2811 Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas.	11 Loja	0
Industrias Manufactureras	C2750 Fabricación de aparatos de uso doméstico.	11 Loja	0
Industrias Manufactureras	C2740 Fabricación de equipo eléctrico de iluminación.	11 Loja	0
Industrias Manufactureras	C2710 Fabricación de motores, generadores, transformadores eléctricos y aparatos de distribución y control de la energía e	11 Loja	0
Industrias Manufactureras	C2680 Fabricación de soportes magnéticos y ópticos.	11 Loja	nan
Industrias Manufactureras	C2630 Fabricación de equipo de comunicaciones.	11 Loja	0
Industrias Manufactureras	C2599 Fabricación de otros productos elaborados de metal n.c.p.	11 Loja	0
Industrias Manufactureras	C2593 Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería.	11 Loja	0
Industrias Manufactureras	"C2592 Tratamiento y revestimiento de metales; maquinado."	11 Loja	0
Industrias Manufactureras	"C2591 Forja, prensado, estampado y laminado de metales; pulvimetalurgia."	11 Loja	0
Industrias Manufactureras	C2513 Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central.	11 Loja	nan
Industrias Manufactureras	C2511 Fabricación de productos metálicos para uso estructural.	11 Loja	0
Industrias Manufactureras	C2431 Fundición de hierro y acero.	11 Loja	0
Industrias Manufactureras	C2420 Fabricación de productos primarios de metales preciosos y metales no ferrosos.	11 Loja	0
Industrias Manufactureras	C2410 Industrias básicas de hierro y acero.	11 Loja	0
Industrias Manufactureras	C2396 Corte, tallado y acabado de la piedra.	11 Loja	0
Industrias Manufactureras	C2395 Fabricación de artículos de hormigón, de cemento y yeso.	11 Loja	0
Industrias Manufactureras	C2393 Fabricación de otros productos de porcelana y de cerámica.	11 Loja	0
Industrias Manufactureras	C2392 Fabricación de materiales de construcción de arcilla.	11 Loja	0
Industrias Manufactureras	C2391 Fabricación de productos refractarios.	11 Loja	0
Industrias Manufactureras	C2310 Fabricación de vidrio y productos de vidrio.	11 Loja	0
Industrias Manufactureras	C2220 Fabricación de productos de plástico.	11 Loja	0
Industrias Manufactureras	"C2211 Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho."	11 Loja	nan
Industrias Manufactureras	C2100 Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.	11 Loja	0
Industrias Manufactureras	C2029 Fabricación de otros productos químicos n.c.p.	11 Loja	0
Industrias Manufactureras	C2023 Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.	11 Loja	0
Industrias Manufactureras	C2022 Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas.	11 Loja	0
Industrias Manufactureras	C2013 Fabricación de plásticos y cauchos sintéticos en formas primarias.	11 Loja	0
Industrias Manufactureras	C2012 Fabricación de abonos y compuestos de nitrógeno.	11 Loja	0
Industrias Manufactureras	C2011 Fabricación de substancias químicas básicas.	11 Loja	0
Industrias Manufactureras	C1820 Reproducción de grabaciones.	11 Loja	0
Industrias Manufactureras	C1812 Actividades de servicios relacionados con la impresión.	11 Loja	0
Industrias Manufactureras	C1811 Actividades de impresión.	11 Loja	0
Industrias Manufactureras	C1709 Fabricación de otros artículos del papel y cartón.	11 Loja	0
Industrias Manufactureras	"C1629 Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables."	11 Loja	0
Industrias Manufactureras	C1622 Fabricación de partes y piezas de carpintería para edificios y construcciones.	11 Loja	0
Industrias Manufactureras	C1610 Aserrado y acepilladura de madera.	11 Loja	0
Industrias Manufactureras	C1520 Fabricación de calzado.	11 Loja	nan
Industrias Manufactureras	C1512 Fabricación de maletas, bolsos de mano y artículos similares, artículos de talabartería y guarnicionería.	11 Loja	0
Industrias Manufactureras	C1430 Fabricación de artículos de punto y ganchillo.	11 Loja	nan
Industrias Manufactureras	C1420 Fabricación de artículos de piel.	11 Loja	nan
Industrias Manufactureras	C1410 Fabricación de prendas de vestir, excepto prendas de piel.	11 Loja	0
Industrias Manufactureras	C1399 Fabricación de otros productos textiles n.c.p.	11 Loja	0
Industrias Manufactureras	C1393 Fabricación de tapices y alfombras.	11 Loja	nan
Industrias Manufactureras	C1392 Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir.	11 Loja	0
Industrias Manufactureras	C1391 Fabricación de tejidos de punto y ganchillo.	11 Loja	nan
Industrias Manufactureras	C1313 Servicio de acabado de productos textiles.	11 Loja	0
Industrias Manufactureras	C1312 Tejedura de productos textiles.	11 Loja	nan
Industrias Manufactureras	"C1104 Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas."	11 Loja	0
Industrias Manufactureras	C1103 Elaboración de bebidas malteadas y de malta.	11 Loja	0
Industrias Manufactureras	C1102 Elaboración de vinos.	11 Loja	0
Industrias Manufactureras	C1101 Destilación, rectificación y mezcla de bebidas alcohólicas.	11 Loja	0
Industrias Manufactureras	C1080 Elaboración de alimentos preparados para animales.	11 Loja	0
Industrias Manufactureras	C1079 Elaboración de otros productos alimenticios n.c.p.	11 Loja	1762,578
Industrias Manufactureras	C1075 Elaboración de comidas y platos preparados.	11 Loja	0
Industrias Manufactureras	C1074 Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares.	11 Loja	nan
Industrias Manufactureras	C1073 Elaboración de cacao, chocolate y productos de confitería.	11 Loja	0
Industrias Manufactureras	C1072 Elaboración de azúcar.	11 Loja	0
Industrias Manufactureras	C1071 Elaboración de productos de panadería.	11 Loja	0
Industrias Manufactureras	C1062 Elaboración de almidones y productos derivados del almidón.	11 Loja	nan
Industrias Manufactureras	C1061 Elaboración de productos de molinería.	11 Loja	0
Industrias Manufactureras	C1050 Elaboración de productos lácteos.	11 Loja	0
Industrias Manufactureras	C1040 Elaboración de aceites y grasas de origen vegetal y animal.	11 Loja	0
Industrias Manufactureras	C1030 Elaboración y conservación de frutas, legumbres y hortalizas.	11 Loja	0
Industrias Manufactureras	C1010 Elaboración y conservación de carne.	11 Loja	0
Industrias Manufactureras	C3320 Instalación de maquinaria y equipo industriales.	12 Los Ríos	0
Industrias Manufactureras	C3314 Reparación de equipo eléctrico.	12 Los Ríos	0
Industrias Manufactureras	C3313 Reparación de equipo electrónico y óptico.	12 Los Ríos	0
Industrias Manufactureras	C3312 Reparación de maquinaria.	12 Los Ríos	0
Industrias Manufactureras	C3311 Reparación de productos elaborados de metal.	12 Los Ríos	0
Industrias Manufactureras	C3290 Otras industrias manufactureras n.c.p.	12 Los Ríos	0
Industrias Manufactureras	C3250 Fabricación de instrumentos y materiales médicos y odontológicos.	12 Los Ríos	0
Industrias Manufactureras	C3240 Fabricación de juegos y juguetes.	12 Los Ríos	nan
Industrias Manufactureras	C3211 Fabricación de joyas y artículos conexos.	12 Los Ríos	0
Industrias Manufactureras	C3100 Fabricación de muebles.	12 Los Ríos	0
Industrias Manufactureras	C3092 Fabricación de bicicletas y de sillas de ruedas para inválidos.	12 Los Ríos	nan
Industrias Manufactureras	C3020 Fabricación de locomotoras y material rodante.	12 Los Ríos	0
Industrias Manufactureras	"C2920 Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques."	12 Los Ríos	0
Industrias Manufactureras	C2826 Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros.	12 Los Ríos	nan
Industrias Manufactureras	C2825 Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.	12 Los Ríos	nan
Industrias Manufactureras	C2824 Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción.	12 Los Ríos	0
Industrias Manufactureras	C2822 Fabricación de maquinaria para la conformación de metales y de máquinas herramienta.	12 Los Ríos	0
Industrias Manufactureras	C2821 Fabricación de maquinaria agropecuaria y forestal.	12 Los Ríos	413
Industrias Manufactureras	C2819 Fabricación de otros tipos de maquinaria de uso general.	12 Los Ríos	0
Industrias Manufactureras	C2818 Fabricación de herramientas de mano motorizadas.	12 Los Ríos	nan
Industrias Manufactureras	C2815 Fabricación de hornos y quemadores.	12 Los Ríos	0
Industrias Manufactureras	C2812 Fabricación de equipo de propulsión de fluidos.	12 Los Ríos	0
Industrias Manufactureras	C2740 Fabricación de equipo eléctrico de iluminación.	12 Los Ríos	nan
Industrias Manufactureras	C2710 Fabricación de motores, generadores, transformadores eléctricos y aparatos de distribución y control de la energía e	12 Los Ríos	0
Industrias Manufactureras	C2670 Fabricación de instrumentos ópticos y equipo fotográficos.	12 Los Ríos	0
Industrias Manufactureras	C2651 Fabricación de equipos de medición, prueba, navegación, control y de relojes.	12 Los Ríos	0
Industrias Manufactureras	C2630 Fabricación de equipo de comunicaciones.	12 Los Ríos	0
Industrias Manufactureras	C2599 Fabricación de otros productos elaborados de metal n.c.p.	12 Los Ríos	0
Industrias Manufactureras	C2593 Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería.	12 Los Ríos	0
Industrias Manufactureras	"C2592 Tratamiento y revestimiento de metales; maquinado."	12 Los Ríos	0
Industrias Manufactureras	C2513 Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central.	12 Los Ríos	0
Industrias Manufactureras	C2511 Fabricación de productos metálicos para uso estructural.	12 Los Ríos	0
Industrias Manufactureras	C2432 Fundición de metales no ferrosos.	12 Los Ríos	nan
Industrias Manufactureras	C2420 Fabricación de productos primarios de metales preciosos y metales no ferrosos.	12 Los Ríos	0
Industrias Manufactureras	C2395 Fabricación de artículos de hormigón, de cemento y yeso.	12 Los Ríos	0
Industrias Manufactureras	C2393 Fabricación de otros productos de porcelana y de cerámica.	12 Los Ríos	0
Industrias Manufactureras	C2392 Fabricación de materiales de construcción de arcilla.	12 Los Ríos	nan
Industrias Manufactureras	C2391 Fabricación de productos refractarios.	12 Los Ríos	nan
Industrias Manufactureras	C2310 Fabricación de vidrio y productos de vidrio.	12 Los Ríos	nan
Industrias Manufactureras	C2220 Fabricación de productos de plástico.	12 Los Ríos	nan
Industrias Manufactureras	C2219 Fabricación de otros productos de caucho.	12 Los Ríos	nan
Industrias Manufactureras	"C2211 Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho."	12 Los Ríos	0
Industrias Manufactureras	C2100 Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.	12 Los Ríos	nan
Industrias Manufactureras	C2029 Fabricación de otros productos químicos n.c.p.	12 Los Ríos	nan
Industrias Manufactureras	C2023 Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.	12 Los Ríos	nan
Industrias Manufactureras	C2022 Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas.	12 Los Ríos	nan
Industrias Manufactureras	C2021 Fabricación de plaguicidas y otros productos químicos de uso agropecuario.	12 Los Ríos	0
Industrias Manufactureras	C2012 Fabricación de abonos y compuestos de nitrógeno.	12 Los Ríos	0
Industrias Manufactureras	C2011 Fabricación de substancias químicas básicas.	12 Los Ríos	0
Industrias Manufactureras	C1812 Actividades de servicios relacionados con la impresión.	12 Los Ríos	0
Industrias Manufactureras	C1811 Actividades de impresión.	12 Los Ríos	0
Industrias Manufactureras	C1709 Fabricación de otros artículos del papel y cartón.	12 Los Ríos	0
Industrias Manufactureras	"C1629 Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables."	12 Los Ríos	nan
Industrias Manufactureras	C1623 Fabricación de recipientes de madera.	12 Los Ríos	0
