Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Fiji	FJI	48.9340505050505	53.271533745766	58.1562651146195	57.995596402467	56.8721322624871	55.5436817262695	55.437236334029	54.5353495533605	54.4863657605154	53.9246390743824	53.9850220227217	51.9604209645046
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Finland	FIN	52.2686045361097	52.9521701528855	59.3066596632289	60.6893258454911	60.4426368312606	60.7355350730073	60.8226695366275	60.343052069254	59.7642078470709	59.8454606198708	60.1069567716381	59.957064644386
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	France	FRA	61.9949200129847	66.3111014923051	70.1796908134547	70.2794996562626	70.3036904121455	70.3461075978072	70.2087214887702	70.505418442713	70.2853682807471	70.0962126783413	70.0435873295223	71.1633794499014
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	French Polynesia	PYF	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Gabon	GAB	49.6791311859805	37.5311789812095	25.6325683424911	27.4556887815273	29.6057833629131	32.6789965337499	39.0291929804191	41.7428124794395	42.6496912552085	41.3974093794287	41.2467130835206	46.217558519855
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Gambia, The	GMB	64.6479591981731	60.6450421705442	54.9002009575039	54.4512163689269	55.1262970634853	56.4387318873601	51.8897873643178	48.7980343537923	53.4253570663483	54.7247837111754	54.5248856884206	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Georgia	GEO	33.3333333333333	53.2458506395724	61.7029126289803	61.723343849739	62.1873808716089	61.6501734995502	62.0191542655076	61.5043531644157	60.2635814099545	60.2689722283259	60.7675132811473	58.5680839849353
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Germany	DEU	..	61.4648497693318	61.79435394051	61.6867311888275	62.1917939779821	62.1085730487151	62.1545645004593	61.770609364732	61.79703473353	62.1253852594823	62.3887601307095	63.3524272767226
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Ghana	GHA	37.8916290215854	28.8150262406777	45.844878600683	47.5829502482676	40.5885509922584	39.0972147282641	42.1424485443344	45.258173549088	44.6364663556384	45.0048288720783	45.8818690218074	42.632634973556
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Gibraltar	GIB	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Greece	GRC	..	65.1508351920359	70.1497275432319	69.9533060666963	70.1627956134463	70.6079931647707	69.9523872038772	69.1308656976027	69.6532541337948	69.7911398441987	70.0441125682098	69.8061162242531
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Greenland	GRL	..	..	64.4597248145655	61.6478682234644	63.9039755960078	63.5552629929158	62.9358027334689	60.4317454742999	60.3372249398578	60.51593685456	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Grenada	GRD	63.0824431597482	64.7056611551237	69.1447656003626	70.4661255469034	69.7397399284938	68.2758651514825	66.7627739799535	66.9320863075736	67.0222251468242	65.9443254275102	66.5961434393526	67.9153986092456
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Guam	GUM	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Guatemala	GTM	54.3330807165374	57.3877357878637	58.9769300915749	59.5278728385924	60.8392601391592	60.8985880234141	61.4489919591481	61.8868511611928	62.474142291945	63.0285886087998	62.6483595981269	61.8682228349078
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Guinea	GIN	44.5345823629651	41.4079154916609	43.8765180993181	42.2230237920342	43.5254457694564	43.3533878614753	45.5062273224316	41.9293069509766	37.9415110575155	38.1508479977998	38.344395675379	36.1897289759232
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Guinea-Bissau	GNB	19.2859089890178	41.8003832217184	40.5614253079369	38.0658844693332	40.1097865736798	41.9293548354356	36.4282540816791	36.3528748905294	32.5233032523903	50.2567439168	51.2366001896858	50.1877199369009
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Guyana	GUY	32.6651783976449	33.1518617830032	42.7999171633455	43.001663519355	42.9588372831012	44.783389837271	44.1050045082195	44.3019541373503	44.3231438937747	45.9542184071538	44.7132587365527	38.9200329255047
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Haiti	HTI	43.5350334455128	57.1843331431214	51.2340177082881	51.011122375721	50.8237004681215	51.7632885363697	52.5027561182369	53.2209838227299	53.4874381908809	53.5857686582867	54.0881931489261	53.1839698974355
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Honduras	HND	44.2452628609148	50.7396802001234	58.2063339221402	58.6183421267834	60.9736192281605	60.1539431811467	58.8330670461585	58.3803820722578	56.8495021190534	57.0588416278613	57.5801932518774	58.3418127285168
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Hong Kong SAR, China	HKG	..	83.7580682182668	91.5084029920959	91.9216380085211	91.1138495209991	90.4754635498594	89.8369247961039	89.532845226422	88.6430466604296	88.7069290565934	89.9808054672779	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Hungary	HUN	..	53.2595114459175	55.9408011528937	55.1536408420777	55.3938539998125	54.7839700828699	54.0454470554161	55.4022341578767	55.8600102004846	55.8217991904241	56.3882719312323	55.8312514602784
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Iceland	ISL	..	56.9012940058605	61.092517806159	62.0110719952568	62.9140735769685	63.7672496581423	64.3660597364996	65.5240569811785	65.5977198862372	65.7371710857173	66.0363642337685	66.2336076054575
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	India	IND	37.0447851943955	42.7329266429546	45.4421452507481	46.3011472980693	46.6987147693703	47.8224137558655	47.7837481204318	47.7494012899643	47.6708899684387	48.5097166074065	49.8595589133602	49.2663781471261
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Indonesia	IDN	39.0663465530181	33.3686365074031	40.5846042111279	40.8733748934867	41.5165374799893	42.2421853142869	43.3090809246806	43.6417488094502	43.6140553296427	43.4048373057688	44.2227648516737	44.39914605479
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Iran, Islamic Rep.	IRN	53.1981355271243	51.4166442622418	48.6697072969843	50.8293237027353	48.3374066616709	49.9044689329139	55.906237568971	55.2395652515125	54.3529234905905	53.503998762691	55.831357996144	57.020519055481
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Iraq	IRQ	22.2711952294529	10.8591155618071	33.4821077639761	35.8893880581268	37.9634247963375	40.1122330492623	51.2496561823717	50.7798718007565	47.7016505614438	43.3025178803877	45.3973267244073	50.779282374023
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Ireland	IRL	..	55.1420974601026	64.5333112446079	64.9019651926854	66.0021725286358	65.4876112606807	53.5578915140597	54.7473704556635	54.9238192358589	56.0173491580003	57.29238353473	54.7862816119187
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Isle of Man	IMN	..	..	..	92.9986076313701	93.1182019208289	93.7098730131692	93.5700590923078	93.6470203089933	93.6624295725627	93.4150171203999	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Israel	ISR	..	64.9724389437493	66.9614231461397	67.4934234177808	67.6794119735077	67.7844397976679	68.2228947504696	69.0594342803621	70.1281011880986	70.6525437973941	71.1604603270578	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Italy	ITA	60.1129165933376	62.7319377833287	66.1845859768924	66.4430892019109	66.6853159566512	67.0857037729254	66.9714230482283	66.6499821793636	66.4310597164747	66.3414778981691	66.3631838337545	66.7510235106684
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Jamaica	JAM	..	63.8778162128089	65.8655341895153	65.4468445187143	64.2717387661162	63.6369709138831	61.8437201937485	61.2455252087479	59.7767839474413	59.2492000250586	59.8108539811498	59.7396040932866
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Japan	JPN	..	66.0206414543262	71.6911224449386	71.7471232811569	71.6207726116305	70.8840213488149	69.7955308631099	69.8870573141604	69.5357755666973	69.4634527506447	69.3043417838569	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Jordan	JOR	59.7838547022149	63.8115647684384	58.9053399346867	60.2740709853318	60.4143610346425	60.088317073912	60.1407620756871	60.6937527286546	60.607638024269	60.7146274170161	60.9394075798093	61.5878984686728
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Kazakhstan	KAZ	..	48.3815387474664	48.8890328062873	51.3898529954355	53.1795606876032	54.8385964696408	59.297627869996	57.857435042574	57.304415099355	55.454732268099	55.5282559332057	55.7537470524431
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Kenya	KEN	..	..	47.0793506459348	47.7271321224161	48.0080251375633	47.9757840845703	46.2164122510144	44.8060520209767	42.3287410574748	43.1330079340329	43.220814220419	42.1900681530255
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Kiribati	KIR	44.1745098039216	58.2873275862069	61.6246317331108	61.059394678263	60.7887723543739	61.6611908929942	60.7074525299089	61.7726188888148	63.3062146522725	63.257935392725	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Korea, Dem. People's Rep.	PRK	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Korea, Rep.	KOR	46.4865209851403	51.6184381917222	54.6498502596086	55.0732047534656	55.2136030251747	55.6449944715975	55.5765055725491	55.3586393130986	54.8477903393924	55.6916932454589	57.0818928777875	57.0188441608522
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Kosovo	XKX	..	..	45.5488420396718	47.0469874278485	47.772181128675	48.9343691064212	47.519028758395	46.1329302647403	45.7995915121845	47.2792851726855	46.8324164713358	44.2131698231596
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Kuwait	KWT	..	..	38.8184691506674	36.7802833610072	38.1397025030319	42.1705567042383	58.4373993786496	60.7099532002045	56.7891464106888	51.9174551895093	54.7228624210634	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Kyrgyz Republic	KGZ	30.6238317757009	29.9724791417079	47.8653557076126	51.0390815511772	49.6332622937347	50.6119382870719	52.1498322606782	50.1483211681284	49.9324474240762	49.7676969702079	49.8516966571136	49.6260431908374
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Lao PDR	LAO	40.2499096773571	42.231701082589	41.7741927841438	40.1523222376043	42.4921486141779	44.1576786052912	44.1689693992427	42.4771231213113	41.5278261302034	41.60838243206	42.3401232799039	40.6365437807455
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Latvia	LVA	..	61.3701833443485	64.6072309971715	64.4726121808749	64.6781076057483	65.5549714835415	65.3450255320677	65.5758720090245	64.7577901930717	64.5404197623275	64.6838207289992	63.9811292041823
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Lebanon	LBN	..	61.52190622598	73.5399992822212	72.9726492491047	72.0920909593279	73.7554931471168	73.6857867113601	74.0336990175076	75.1802535081368	76.6691801118803	78.8477009715948	86.3607462624388
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Lesotho	LSO	55.9228511245639	51.3188103835103	51.8921213850424	52.852098892416	54.8845855681331	53.0682804387969	51.5321727780951	53.3360704975363	54.5028778745607	51.6510734854777	51.988111007242	52.8353076923087
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Liberia	LBR	..	19.6801945080092	47.4000417014178	44.801506798971	47.0146397130747	48.534510178117	53.0924457034939	50.3438864662127	48.2401372108277	50.209212622549	48.9187606482437	49.6923305084746
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Libya	LBY	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Liechtenstein	LIE	..	..	..	..	..	..	..	54.6597897888126	51.5748525536454	55.004485645933	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Lithuania	LTU	..	56.9388472596318	58.4836119281284	58.4765689410136	59.7291014742459	59.4997073779012	59.905017707796	60.9366060491549	60.4381268302661	61.4038373114512	61.3665676676386	61.5487222638602
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Luxembourg	LUX	..	72.1059745914748	78.3061188547683	78.2569202392224	78.1252059159269	78.2968405145853	79.115605005112	78.8300095249928	79.3319527045795	78.5510225769928	79.1581586192251	80.0839342229954
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Macao SAR, China	MAC	..	80.6912027074252	96.114243936122	95.577837023299	96.2048773616296	94.2900601118317	91.6969144483416	92.7925428618987	93.5019236182791	94.2604535099646	94.040232028361	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Madagascar	MDG	..	48.3695987195514	53.7458236701958	54.6610947811239	54.6495579394299	54.332701067255	55.126138878335	54.8806644678312	55.4857499190263	53.1299173148371	51.8659217618186	57.0414798711912
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Malawi	MWI	22.3283050207625	38.3707437156757	47.8912257785644	49.1939499952786	49.7366639588098	49.7963275347149	50.201470182727	51.8519078685961	52.2901752722487	52.7353999504575	51.6981152757201	55.6057471332478
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Malaysia	MYS	44.1926083926067	46.3014974705458	47.7668352467225	49.0223958354783	49.9447288177857	50.1226000797149	52.0138989748857	52.531571127313	51.8821117066805	52.985458347707	54.2134734740023	54.784819971722
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Maldives	MDV	..	..	75.0633081053737	75.4770285975961	75.5762237057377	75.4050928515842	72.3323272681204	69.9334071322437	69.4098238833921	68.2926471851801	70.0287094990091	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Mali	MLI	41.0705882664447	37.2626429329049	36.7279568394735	34.2187155639794	38.2728084445369	37.3111410413359	37.2660625296056	35.6427369625411	34.8869589972434	33.9483776708858	33.4939714808061	34.4117238184668
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Malta	MLT	36.9830657107105	60.3394163300948	69.9375238786439	71.9765074425009	72.6980977174747	74.1809500106387	75.7009793792256	75.5350202732657	76.08749932766	75.1936146511458	75.7129703059846	76.1437624037283
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Marshall Islands	MHL	..	72.5967186111532	68.9784741722008	66.9932269726214	68.1543645220417	71.9231833484497	75.3101907740584	71.3516737804258	72.0966904482606	72.0749098894394	68.0404255870029	..
